ParticipantId,ReadFreqW1,ReadFreqW2,ReadFreqW3,ReadFreqW4,ReadFreqW5,ReadFreqTotal,PagesFinishedW1,PagesFinishedW2,PagesFinishedW3,PagesFinishedW4,PagesFinishedW5,PagesFinishedTotal,EngagementW1,EngagementW2,EngagementW3,EngagementW4,EngagementW5,EngagementTotal
1,8,8,10,8,0,34,2.5,3.5,4.5,4.5,0,15.0,3,5,5,6,0,19
2,8,20,20,10,0,58,10,10,10,10,0,40.0,7,5,7,5,0,24
3,6,5,4,7,0,22,10,10,10,10,0,40.0,7,6,6,6,0,25
4,5,7,7,5,0,24,10,10,9,9,0,38,5,5,3,1,0,14
5,14,14,30,30,14,102,10,3.5,10,10,7.5,41,2,4,6.5,6.5,6.5,25.5
6,6,6,5,4,0,21,8,8,7,7,0,30.0,6,5,4.5,4.5,0,20
7,10,7,5,8,0,30,10,10,7,10,0,37.0,7,7,3,5,0,22
8,10,7,6,5,8,36,10,5,5,6,7,33.0,5,3,3,3.5,5,20
13,6,4,6,7,0,23,10,8,10,10,0,38.0,6,5,7,6,0,24
15,7,6,7,7,0,27,10,10,10,10,0,40.0,4,4,6.5,6.5,0,21
17,11,14,17,14,7,63,7,8,10,10,10,45.0,5,5.5,6,6,6,29
18,,,,,,,,,,,,,,,,,,
19,7,9,5,6,7,34,10,10,10,10,10,50.0,5,5,4,4,5,23
20,10,8,8,9,0,35,7,5,2,2,0,16.0,5,3,1,0,0,9
23,21,14,7,5,0,47,10,9,3,10,0,32.0,5,5,3,4,0,17
24,12,6,14,12,0,44,10,10,10,10,0,40.0,5.5,5.5,7,6,0,24
26,6,7,8,6,0,27,6,6,3,3,0,18.0,3,3,1,2,0,9
27,25,10,21,10,10,76,6,5,5,7,3,26.0,4,2,3,2,1,12
29,6,0,3,3,1,13,10,0,10,10,10,40.0,5,0,6,6,5,22
30,7,5,4,3,0,19,9,8.5,5,2,0,24.5,3,3,2,1,0,9
31,8,10,11,11,11,51,10,10,10,10,10,50.0,5,6,7,7,7,32
33,8,7,5,11,0,31,10,10,10,10,0,40.0,5,5,5,4,0,19
39,7,7,5,7,0,26,9,9,7,7,0,32.0,3,5,3,4,0,15
40,8,6,9,7,0,30,9,6,5,4,0,24.0,7,5,4,3,0,19
43,13,6,7,5,0,31,,,,,,,,,,,,
44,4,7,5,5,6,27,,,,,,,,,,,,
46,9,7,6,6,0,28,,,,,,,,,,,,
47,7,7,6,0,0,20,10,10,10,0,0,30.0,7,7,6,0,0,20
48,17,12,9,15,11,64,,,,,,,,,,,,
49,4,3,3,3,0,13,,,,,,,,,,,,